Designator,Qty,Value,LCSC_Part_No,Manufacturer_PN,Package,JLCPCB_Lib,Unit_Cost_100qty,Notes
U1,1,ESP32-WROOM-32E-N8,C701923,ESP32-WROOM-32E-N8,SMD-Module,Extended,1.86,Classic BT required
U2,1,INMP441,C2884796,INMP441,LGA-6,n/a,1.20,
U3,1,AMS1117-3.3,C6186,AMS1117-3.3,SOT-223,Basic,0.04,
J1,1,USB-C 6P,C2765186,TYPE-C-31-M-12,SMD,Basic,0.10,
U4,1,CH340N,C84681,CH340N,SOP-8,Basic,0.50,
C/R passives,1,assorted,n/a,n/a,0603,Basic,0.05,
PCB,1,2-layer,JLCPCB,JLCPCB,2-layer,n/a,0.40,
,,,,,,,,
TOTAL,,,,,,,$4.15,
